product_ENG,product_KOR,price,genre,classification,price_range
airfryer,에어프라이어,"₩169,000.00 ",ELEC,UT,HIGH
bath_bomb,입욕제,"₩11,000.00 ",SELF-CARE,HE,LOW
body_lotion,바디 로션,"₩18,500.00 ",SELF-CARE,UT,LOW
body_mist,바디 미스트,"₩25,000.00 ",SELF-CARE,HE,LOW
bread,식빵,"₩7,000.00 ",FOOD,UT,LOW
cable_organizer,케이블 정리 악세서리,"₩1,500.00 ",STA,UT,LOW
cake,케이크,"₩32,500.00 ",FOOD,HE,HIGH
canned_tuna,참치캔,"₩4,000.00 ",FOOD,UT,LOW
caviar,캐비어,"₩110,500.00 ",FOOD,HE,HIGH
chips,감자칩,"₩4,500.00 ",FOOD,HE,LOW
chocolate,초콜릿,"₩3,000.00 ",FOOD,HE,LOW
cookies,쿠키,"₩5,500.00 ",FOOD,HE,LOW
cup_ramen,컵라면,"₩1,000.00 ",FOOD,UT,LOW
decorative_magnet,장식 자석,"₩5,000.00 ",STA,HE,LOW
decorative_tape,디자인 테이프,"₩4,000.00 ",STA,HE,LOW
disposable_camera,일회용 카메라,"₩24,500.00 ",ELEC,HE,LOW
ergonomics_chair_seat,자세교정 방석,"₩44,500.00 ",STA,UT,HIGH
egyptian_cotton_sheets_set,이집트 코튼 침구 커버,"₩145,000.00 ",SELF-CARE,HE,HIGH
electric_toothbrush,전동 칫솔,"₩116,000.00 ",SELF-CARE,UT,HIGH
fountain_pen,만년필,"₩87,500.00 ",STA,HE,HIGH
frozen_pizza,냉동 피자,"₩9,500.00 ",FOOD,UT,LOW
gaming_console,게임 콘솔,"₩563,000.00 ",ELEC,HE,HIGH
hair_brush,머리빗,"₩20,000.00 ",SELF-CARE,UT,LOW
instant_coffee,커피 믹스,"₩7,000.00 ",FOOD,HE,LOW
instant_coffee_maker,캡슐 커피 메이커,"₩177,000.00 ",ELEC,HE,HIGH
laptop_stand,노트북 거치대,"₩36,000.00 ",STA,UT,HIGH
leather_notebook,가죽 노트,"₩71,000.00 ",STA,UT,HIGH
LED_mood_light,LED 무드등,"₩34,000.00 ",ELEC,HE,LOW
lip_balm,립밤,"₩10,000.00 ",SELF-CARE,UT,LOW
luxury_perfume,명품 향수,"₩116,000.00 ",SELF-CARE,HE,HIGH
mango_set,애플망고 세트,"₩64,500.00 ",FOOD,UT,HIGH
manuka_honey,마누카 꿀,"₩91,500.00 ",FOOD,HE,HIGH
massaging_roller,마사지 롤러,"₩97,500.00 ",SELF-CARE,UT,HIGH
memo_pads,메모지,"₩3,000.00 ",STA,UT,LOW
mini_camera,초소형 카메라,"₩30,000.00 ",ELEC,HE,LOW
mouse_pad,마우스 패드,"₩8,500.00 ",STA,UT,LOW
multitab,멀티탭,"₩23,000.00 ",ELEC,UT,LOW
oil_pastels,오일 파스텔 세트,"₩50,500.00 ",STA,HE,HIGH
organic_olive_oil,엑스트라 버진 올리브 오일,"₩48,000.00 ",FOOD,UT,HIGH
paper_weight,문진,"₩19,000.00 ",STA,HE,HIGH
pen,볼펜,"₩1,500.00 ",STA,UT,LOW
portable_charger,휴대용 충전기,"₩20,500.00 ",ELEC,UT,LOW
portable_humidifier,휴대용 가습기,"₩32,000.00 ",ELEC,UT,LOW
projector,빔 프로젝터,"₩662,500.00 ",ELEC,HE,HIGH
rc_car,RC 카,"₩46,000.00 ",ELEC,HE,LOW
roll_on_mini_perfume,롤온 향수,"₩25,500.00 ",SELF-CARE,HE,LOW
scented_hand_cream,퍼퓸 핸드크림,"₩14,500.00 ",SELF-CARE,HE,LOW
scientific_calculator,SSD external storage 2TB,"₩23,500.00 ",STA,UT,HIGH
shampoo,샴푸,"₩22,000.00 ",SELF-CARE,UT,LOW
singing_bowl,싱잉볼,"₩30,000.00 ",SELF-CARE,HE,HIGH
skin_care_device,워터 필링기,"₩71,500.00 ",SELF-CARE,UT,HIGH
SSD_external_storage,SSD 외장하드 2TB,"₩342,500.00 ",ELEC,UT,HIGH
stamp,도장,"₩7,000.00 ",STA,HE,LOW
steak_500g,소고기 채끝 500g,"₩50,000.00 ",FOOD,UT,HIGH
stickers,스티커,"₩2,000.00 ",STA,HE,LOW
supplements,멀티비타민,"₩46,500.00 ",FOOD,UT,HIGH
tablet,테블릿,"₩746,500.00 ",ELEC,UT,HIGH
tea_gift_set,말차 세트,"₩58,500.00 ",FOOD,HE,HIGH
vacuum_cleaner,청소기,"₩275,500.00 ",ELEC,UT,HIGH
VR_headset,VR 헤드셋,"₩762,500.00 ",ELEC,HE,HIGH
wax_burner,세라믹 왁스 멜트 버너,"₩30,000.00 ",SELF-CARE,HE,HIGH
wax_seal_kit,실링 왁스 키트,"₩19,500.00 ",STA,HE,HIGH
weighted_blanket,중력 수면 이불,"₩94,500.00 ",SELF-CARE,UT,HIGH
wireless_keyboard,저소음 무선 키보드,"₩67,000.00 ",ELEC,UT,LOW
